Start,End,Colour
2004-08-29 06:14:00,2004-08-29 11:55:00,Amber
2004-08-29 14:40:00,2004-08-29 16:15:00,Amber
2004-09-21 20:25:00,2004-09-21 21:30:00,Amber
2005-05-08 10:35:00,2005-05-08 14:00:00,Amber
2005-05-09 12:10:00,2005-05-09 14:20:00,Amber
2005-05-10 02:35:00,2005-05-10 05:00:00,Amber
2005-05-10 11:15:00,2005-05-10 12:30:00,Amber
2005-05-18 22:50:00,2005-05-19 00:30:00,Amber
2005-05-20 19:30:00,2005-05-20 22:00:00,Amber
2005-05-27 18:35:00,2005-05-27 20:35:00,Amber
2005-06-15 16:00:00,2005-06-15 23:15:00,Amber
2005-06-21 09:10:00,2005-06-21 14:40:00,Amber
2005-06-24 01:30:00,2005-06-24 10:00:00,Amber
2005-06-24 10:00:00,2005-06-24 13:30:00,Red
2005-07-19 02:05:00,2005-07-19 03:15:00,Amber
2005-07-20 23:00:00,2005-07-21 01:35:00,Amber
2005-08-13 11:40:00,2005-08-13 13:15:00,Amber
2005-08-13 20:45:00,2005-08-14 00:20:00,Amber
2005-08-19 19:25:00,2005-08-20 00:55:00,Amber
2005-08-20 08:35:00,2005-08-20 21:10:00,Amber
2006-04-24 01:15:00,2006-04-24 01:40:00,Amber
2006-04-24 01:40:00,2006-04-24 02:30:00,Red
2006-04-24 02:30:00,2006-04-24 04:30:00,Black
2006-04-24 04:30:00,2006-04-24 05:30:00,Red
2006-04-24 05:30:00,2006-04-24 07:45:00,Amber
2006-04-28 04:40:00,2006-04-28 10:15:00,Amber
2006-05-02 21:10:00,2006-05-02 21:55:00,Amber
2006-05-02 21:55:00,2006-05-03 03:45:00,Red
2006-05-03 03:45:00,2006-05-03 07:10:00,Amber
2006-06-02 10:35:00,2006-06-02 10:55:00,Amber
2006-06-02 10:55:00,2006-06-02 14:45:00,Red
2006-06-02 14:45:00,2006-06-02 15:30:00,Amber
2006-06-09 02:00:00,2006-06-09 03:00:00,Amber
2006-06-09 10:25:00,2006-06-09 10:55:00,Amber
2006-06-09 10:55:00,2006-06-09 11:15:00,Red
2006-06-09 11:15:00,2006-06-09 13:30:00,Black
2006-06-09 13:30:00,2006-06-09 14:20:00,Red
2006-06-09 14:20:00,2006-06-09 15:20:00,Amber
2006-06-09 20:40:00,2006-06-09 22:30:00,Amber
2006-06-13 03:35:00,2006-06-13 04:15:00,Amber
2006-06-13 04:15:00,2006-06-13 05:35:00,Red
2006-07-08 09:00:00,2006-07-08 11:10:00,Amber
2006-07-16 02:10:00,2006-07-16 02:35:00,Amber
2006-07-16 02:35:00,2006-07-16 02:50:00,Red
2006-07-16 02:50:00,2006-07-16 05:00:00,Black
2006-07-16 05:00:00,2006-07-16 05:45:00,Red
2006-07-16 05:45:00,2006-07-16 07:45:00,Amber
2006-07-27 05:25:00,2006-07-27 09:20:00,Amber
2006-07-28 03:25:00,2006-07-28 10:00:00,Amber
2006-08-10 00:10:00,2006-08-10 01:40:00,Amber
2006-08-19 00:20:00,2006-08-19 01:40:00,Amber
2006-09-09 13:05:00,2006-09-09 13:45:00,Amber
